chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type	ID	Length	DivBy3Rem	StopCodons	StopCodonPos	CodonUsage	TGT-C	CGT-R	AAT-N	TGC-C	GGG-G	CGC-R	AAC-N	ACA-T	GGT-G	AAG-K	ATA-I	CGG-R	TGG-W	GGC-G	GGA-G	ATC-I	ACT-T	ATT-I	ACC-T	ATG-M	AAA-K	CGA-R	TGA-stop	ACG-T	CTG-L	AGA-R	CAA-Q	GTC-V	TTG-L	TAA-stop	GCT-A	CCG-P	GTT-V	GCC-A	TCG-S	TCT-S	GAA-E	GTG-V	TTC-F	CTC-L	CCT-P	GCG-A	TCC-S	TTT-F	CTT-L	CCC-P	CCA-P	TCA-S	GAT-D	AGG-R	CAG-Q	CTA-L	GAC-D	TTA-L	TAG-stop	TAT-Y	GCA-A	CAT-H	AGT-S	GTA-V	GAG-E	TAC-Y	AGC-S	CAC-H	
5	NC_000005.10	AMACR	23600	CCDS3902.1	Public	-	33989092	34008018	[33989092-33989501, 33998640-33998826, 34004573-34004733, 34005755-34005898, 34007772-34008018]	Identical	CCDS3902.1_CHR5	1149	0	0	1146-	386	4	2	6	2	2	10	5	4	7	12	4	8	4	15	11	7	6	7	2	11	8	1		2	23	1	1	4	5	1	9	6	5	7	4	3	13	10	10	4	6	1	2	10	7	5	4	4	13	4	12	2	8	3		6	12	2	7	3	15	3	5	3	
2	NC_000002.12	LONRF2	164832	CCDS92818.1	Public	-	100284297	100309174	[100284297-100284491, 100286913-100287062, 100290257-100290419, 100294228-100294386, 100295431-100295552, 100298835-100298949, 100299225-100299318, 100299716-100299917, 100300643-100300786, 100302920-100303042, 100309106-100309174]	Identical	CCDS92818.1_CHR2	1536	0	0	1533-	515	9	1	14	8	4	5	7	6	4	16	5	6	4	7	8	9	4	7	4	15	11	3	1	4	15	13	8	4	8		13	2	5	14	4	13	29	11	3	13	10	5	3	15	14	8	7	7	16	3	11	3	10	10		9	7	4	8	5	19	1	9	11	
5	NC_000005.10	CCL28	56477	CCDS3944.1	Public	-	43381859	43412315	[43381859-43382051, 43388349-43388475, 43412252-43412315]	Identical	CCDS3944.1_CHR5	384	0	0	381-	131	5		3	2	2	2	3	1	1	5	1		1	2	2	4	2	2		3	6			1	1	6	1	4	2		5	1	3	7			3	3		2	1	1	2		2	1		2	2	4	5	1	1		1	1	1	8	1		1	1	2	4	
19	NC_000019.10	DNM2	1785	CCDS32908.1	Public	+	10718242	10831046	[10718242-10718402, 10759737-10759810, 10772478-10772627, 10775702-10775905, 10777117-10777215, 10782959-10783119, 10786563-10786705, 10793719-10793854, 10795371-10795438, 10797379-10797517, 10798485-10798571, 10802287-10802357, 10805915-10805966, 10812263-10812376, 10819979-10820088, 10823787-10823898, 10825056-10825220, 10829035-10829267, 10830126-10830377, 10830977-10831046]	Identical	CCDS32908.1_CHR19	2601	0	0	2598-	870	3	3	5	2	11	12	29	3	4	40	2	23	5	23	5	47	6	14	20	20	14	7		12	43	7	3	18	8		6	10	3	35	7	1	9	28	19	23	11	3	21	12	4	27	18	6	10	8	38	4	43	1	1	1	10	5	3	3	52	17	26	13	
Y	NC_000024.10	UTY	7404	CCDS59184.1	Public	-	13249855	13479664	[13249855-13249881, 13251016-13251186, 13260277-13260403, 13297706-13297847, 13298956-13299143, 13302876-13302990, 13305398-13305546, 13306037-13306111, 13306185-13306249, 13323554-13323759, 13324600-13324705, 13326220-13326349, 13335562-13336334, 13355002-13355397, 13355922-13356017, 13357876-13357968, 13359087-13359221, 13359766-13359985, 13360429-13360527, 13366266-13366392, 13369255-13369348, 13393858-13393892, 13396917-13396971, 13410992-13411112, 13414734-13414792, 13449016-13449065, 13470120-13470228, 13479253-13479316, 13479513-13479664]	Identical	CCDS59184.1_CHRY	4179	0	0	4176-	1396	26	6	64	12	14	3	25	36	19	27	13	3	23	17	28	7	28	32	16	21	57	8	1	2	19	18	33	12	38		34		28	20	3	38	52	21	12	11	31	6	17	27	32	9	31	31	35	11	49	15	20	27		26	40	40	30	16	22	17	22	12	
X	NC_000023.11	NHS	4810	CCDS14181.1	Public	+	17375757	17732463	[17375757-17376321, 17687741-17687893, 17692334-17692467, 17721440-17721632, 17724298-17724429, 17725346-17728327, 17728648-17728774, 17731857-17732463]	Identical	CCDS14181.1_CHRX	4893	0	0	4890-	1634	7	11	34	16	13	20	31	34	22	34	16	14	9	25	19	23	20	21	25	16	47	8		16	39	22	27	18	14		35	22	18	43	11	53	50	25	14	22	44	17	45	24	19	30	55	42	44	28	44	13	51	11	1	11	37	19	30	10	57	12	60	33	
11	NC_000011.10	CD81	975	CCDS73240.1	Public	+	2394126	2396865	[2394126-2394191, 2394971-2395045, 2395415-2395519, 2395868-2395969, 2396627-2396713, 2396803-2396865]	Identical	CCDS73240.1_CHR11	498	0	0	495-	169	4		1	6	3		7	1		9		1	1	8		13	1	1	4	5			1	2	9			3	2		4		1	10	1		1	11	9	4			4	2	1	1		1	4		8	1	6			1					4	3	5	2	
16	NC_000016.10	RPGRIP1L	23322	CCDS81980.1	Public	-	53602075	53700722	[53602075-53602187, 53605480-53605613, 53610966-53611050, 53619024-53619207, 53622218-53622355, 53636438-53636511, 53637694-53637853, 53641032-53641115, 53641284-53641474, 53645624-53646002, 53648963-53649114, 53652534-53652986, 53656471-53656588, 53657452-53657631, 53658413-53658463, 53658771-53658877, 53664869-53665008, 53671509-53671582, 53672869-53673015, 53675016-53675121, 53686432-53686575, 53687862-53687964, 53692065-53692363, 53696150-53696294, 53700638-53700722]	Identical	CCDS81980.1_CHR16	3846	0	0	3843-	1285	8	9	38	7	10	7	18	28	12	32	17	8	4	14	15	23	20	35	14	29	59	12	1	1	17	27	48	9	20		26	1	23	14	2	25	79	20	12	14	12	1	7	28	36	11	24	16	57	9	45	14	31	32		23	29	22	22	14	49	14	14	14	
15	NC_000015.10	BCL2L10	10017	CCDS10148.1	Public	-	52109847	52112725	[52109847-52109972, 52112237-52112725]	Identical	CCDS10148.1_CHR15	615	0	0	612-	208	1			3	5	6	1	3		3		9	7	9				2	8	4	1	1	1	3	16	3		2	4		3	4	1	13	1		1	8	7	5		4	6	5		7	2	1	2	2	10	1	6	4		1	1				9	4	2	3	
7	NC_000007.14	ITPRID1	223075	CCDS5435.2	Public	+	31553024	31652828	[31553024-31553186, 31554474-31554522, 31554857-31554900, 31569757-31569808, 31572101-31572187, 31574539-31574741, 31577862-31578433, 31583133-31583190, 31642175-31642257, 31642681-31643952, 31651141-31651268, 31651938-31652049, 31652517-31652828]	Identical	CCDS5435.2_CHR7	3135	0	0	3132-	1048	17	3	14	16	16	1	18	14	14	24	5	3	10	11	18	18	23	9	20	31	18	4		4	31	19	25	11	17		22	5	9	26	2	26	47	18	14	13	31	3	16	18	13	17	23	31	23	20	45	10	23	11	1	10	16	18	14	9	49	2	27	19	
19	NC_000019.10	ZNF211	10520	CCDS74468.1	Public	+	57633346	57642180	[57633346-57633435, 57634628-57634754, 57639911-57640066, 57640703-57642180]	Identical	CCDS74468.1_CHR19	1851	0	0	1848-	620	22		6	15	17	4	12	8	3	6	6	3	7	3	21	4	13	10	4	8	29	2		3	8	20	13	6	4		4	4	12	8	4	10	34	11	11	13	14	3	17	19	9	4	4	7	6	16	24	4	7		1	9	6	13	18	1	13	8	18	28	
X	NC_000023.11	WDR44	54521	CCDS55482.1	Public	+	118346503	118448986	[118346503-118346579, 118378418-118378451, 118387339-118387413, 118392631-118393270, 118394054-118394184, 118395248-118395343, 118396969-118397105, 118398386-118398469, 118404337-118404443, 118406874-118407025, 118409488-118409626, 118410894-118410958, 118432780-118432893, 118436701-118436823, 118441367-118441558, 118442243-118442344, 118442564-118442679, 118443583-118443686, 118444359-118444493, 118448892-118448986]	Identical	CCDS55482.1_CHRX	2718	0	0	2715-	909	5	3	24	5	10	3	12	23	12	22	13	2	8	8	21	8	26	16	9	14	52	5		4	4	23	14	6	16	1	19	1	18	13	2	26	51	20	11	6	29	2	9	19	19	7	21	20	57	5	17	12	13	14		14	20	9	24	14	21	8	8	8	
2	NC_000002.12	STON1	11037	CCDS1841.1	Public	+	48580633	48595301	[48580633-48582562, 48591652-48591854, 48595227-48595301]	Identical	CCDS1841.1_CHR2	2208	0	0	2205-	739	14	1	15	7	7	1	13	10	6	27	9	3	10	4	18	7	11	17	8	14	28	4			16	6	14	11	12		12	1	11	7	2	19	32	14	10	9	19	1	19	26	18	11	24	21	20	10	24	4	20	8	1	14	7	14	15	8	22	9	6	5	
X	NC_000023.11	COL4A6	1288	CCDS76010.1	Public	-	108156999	108438195	[108156999-108157259, 108159461-108159747, 108160462-108160653, 108161618-108161734, 108162891-108163037, 108164599-108164697, 108164876-108165037, 108165369-108165485, 108169494-108169619, 108169944-108170015, 108170608-108170715, 108170809-108170916, 108171386-108171460, 108172468-108172531, 108174439-108174620, 108175089-108175214, 108175653-108175796, 108176840-108177010, 108178683-108178844, 108179216-108179437, 108180514-108180621, 108180896-108180967, 108183721-108183771, 108187095-108187278, 108187847-108188026, 108188516-108188676, 108190391-108190495, 108191392-108191532, 108192472-108192579, 108193627-108193696, 108194533-108194586, 108195081-108195125, 108196510-108196578, 108202927-108202980, 108204319-108204411, 108205438-108205479, 108205659-108205694, 108206517-108206579, 108209968-108210003, 108211671-108211739, 108214111-108214227, 108219697-108219741, 108221239-108221373, 108310747-108310827, 108437941-108437992, 108438185-108438195]	Identical	CCDS76010.1_CHRX	5124	0	0	5121-	1711	12	7	14	12	80	6	11	13	94	42	11	4	8	124	169	29	22	22	16	25	54	10		3	33	18	33	11	15		26	10	18	15	5	29	33	14	28	31	114	2	14	27	25	40	116	18	30	4	32	17	25	19	1	6	17	5	18	9	26	9	14	13	
17	NC_000017.11	CCDC43	124808	CCDS45705.1	Public	-	44679006	44689752	[44679006-44679042, 44682002-44682137, 44683871-44683958, 44689549-44689752]	Identical	CCDS45705.1_CHR17	465	0	0	462-	158	2		2	1	1			1	1	5	1	1	2	7	5	5	1	3	2	2	5	2			7	2	2	1	2	1	4	1	3	8		2	12	6	1	3	2	3	2	1	1	1	1	2	6	1	7	1	3			2	2			3	10	1	1	1	
3	NC_000003.12	ARPP21	10777	CCDS43063.1	Public	+	35681751	35684028	[35681751-35681879, 35682847-35682888, 35683725-35683814, 35684020-35684028]	Identical	CCDS43063.1_CHR3	270	0	0	267-	93	1		2		1	1	1		2	1	1	1		1	5		4	1		1	5		1	1	6	3	2	1			2		1	2		3	7			1			1		2		2	2	2	1	6		1				3		2		9		1		
1	NC_000001.11	CHD1L	9557	CCDS91037.1	Public	+	147242703	147295508	[147242703-147242829, 147264428-147264583, 147265931-147266086, 147267425-147267517, 147268781-147268877, 147270931-147271004, 147272170-147272280, 147275353-147275467, 147276103-147276256, 147280025-147280190, 147284350-147284498, 147285323-147285486, 147286297-147286499, 147287634-147287732, 147291481-147291551, 147293607-147293721, 147294408-147294516, 147295430-147295508]	Identical	CCDS91037.1_CHR1	2238	0	0	2235-	749	1	4	8	2	10	4	10	6	12	28	9	7	6	19	14	5	11	16	7	13	33	8		2	30	15	14	7	17	1	21	1	13	16		15	26	15	6	17	9	3	13	20	13	6	9	8	27	7	24	5	16	8		10	18	12	14	5	42	12	8	8	
4	NC_000004.12	GAB1	2549	CCDS3759.1	Public	+	143337188	143469188	[143337188-143337259, 143415476-143415770, 143433490-143433715, 143437998-143438599, 143439801-143439886, 143440078-143440381, 143459384-143459477, 143460363-143460486, 143466102-143466224, 143469030-143469188]	Identical	CCDS3759.1_CHR4	2085	0	0	2082-	698	8	7	19	3	5	3	12	16	3	20	3	3	6	9	13	8	13	16	10	13	19	7	1	3	5	8	13	5	10		12	2	15	5	2	17	29	14	4	6	25	2	18	17	4	13	44	16	29	8	12	4	22	13		12	12	12	25	5	9	8	15	3	
10	NC_000010.11	NRAP	4892	CCDS7579.1	Public	-	113588974	113663881	[113588974-113589078, 113589665-113589796, 113590577-113590888, 113592193-113592300, 113595622-113595726, 113597085-113597183, 113597968-113598072, 113604608-113604919, 113605761-113605868, 113606177-113606281, 113608413-113608511, 113610458-113610562, 113612233-113612430, 113614182-113614295, 113614838-113614945, 113615711-113615815, 113617454-113617552, 113620603-113620707, 113621868-113622179, 113623528-113623635, 113624825-113624929, 113626046-113626144, 113628916-113629020, 113629587-113629784, 113631508-113631609, 113631856-113631963, 113633083-113633187, 113634111-113634209, 113640226-113640330, 113641364-113641471, 113642933-113643037, 113645824-113645940, 113646922-113647026, 113650036-113650140, 113650437-113650544, 113651802-113651906, 113652934-113653038, 113654020-113654124, 113657469-113657573, 113662678-113662765, 113663351-113663445, 113663810-113663881]	Identical	CCDS7579.1_CHR10	5193	0	0	5190-	1734	11	7	32	6	26	10	31	25	14	95	11	17	18	30	23	27	17	13	25	47	70	8	1	7	79	21	26	16	19		46	6	19	74	4	11	46	35	26	27	14	11	21	19	14	24	21	11	43	35	77	3	55	6		44	36	34	43	6	69	47	41	31	
19	NC_000019.10	LRFN1	57622	CCDS46071.1	Public	-	39307632	39315335	[39307632-39308541, 39313930-39315335]	Identical	CCDS46071.1_CHR19	2316	0	0	2313-	775	3	6	2	14	22	24	21	6	2	7	1	20	7	33	7	21	4		32	12	1	5	1	8	56	1		14	4		12	26	4	44	12	5	4	37	18	24	8	25	21	3	3	22	6		7	9	22	4	31	1		3	10	2	5	2	34	10	10	14	
3	NC_000003.12	CCNL1	57018	CCDS3178.1	Public	-	157148240	157160093	[157148240-157148588, 157149286-157149384, 157149484-157149595, 157149835-157149976, 157150064-157150168, 157150281-157150380, 157152176-157152240, 157153035-157153155, 157158865-157158974, 157159404-157159478, 157159791-157160093]	Identical	CCDS3178.1_CHR3	1581	0	0	1578-	530	4	6	14	3	5	7	4	6	6	13	3	3	2	7	9	13	8	9	10	6	24	8	1	9	10	22	7	4	4		8	4	7	14	6	11	20	6	4	6	7	3	11	9	12	4	12	14	10	16	10	1	6	8		4	11	19	11	5	12	7	11	11	
20	NC_000020.11	NKAIN4	128414	CCDS13514.1	Public	-	63241496	63254449	[63241496-63241505, 63242538-63242622, 63244023-63244083, 63247577-63247774, 63248814-63248894, 63249934-63250071, 63254396-63254449]	Identical	CCDS13514.1_CHR20	627	0	0	624-	212	3	1	1	6	1	4	2		3	3		2	7	11	2	10		1	3	2				2	15			13	2	1	2			8			3	9	6	8	2	4	6	8	1	3	4	1	2	1	8	2	3	1		2	2	4	2		9	6	5	2	
22	NC_000022.11	POLR3H	171568	CCDS33651.1	Public	-	41529282	41544100	[41529282-41529335, 41530686-41530887, 41532093-41532156, 41540698-41540794, 41543990-41544100]	Identical	CCDS33651.1_CHR22	528	0	0	525-	179	1			1	2	1	5	1		7		2	5	5	3	5	1	3	6	3	2			3	7			4	1		1	1	1	5		1	3	9	6	5	2	1	5	3	2	4	4	3	5	1	4	1	8		1	1	3		2	1	16	4	3	2	
15	NC_000015.10	PLEKHO2	80301	CCDS73739.1	Public	+	64842016	64865887	[64842016-64842027, 64854920-64855036, 64859893-64859997, 64861476-64861574, 64864898-64865887]	Identical	CCDS73739.1_CHR15	1323	0	0	1320-	444	2	1	3	3	11	4	6	8	4	19		9	3	9	2	4	3	1	10	6	8	5		2	19	4	2	8	5		8	4	2	16	1	7	10	17	4	6	20		8	2	5	19	13	4	8	6	20	3	13	1	1	2	12	4	9	1	39	1	12	2	
2	NC_000002.12	BUB1	699	CCDS33273.1	Public	-	110637963	110677994	[110637963-110638158, 110639741-110639847, 110641033-110641204, 110641306-110641463, 110641641-110641802, 110642118-110642233, 110649233-110649376, 110650545-110650783, 110653435-110653522, 110655738-110655915, 110657035-110657116, 110657545-110657644, 110658409-110658519, 110658613-110658741, 110659977-110660035, 110661581-110661840, 110666262-110666413, 110667520-110667704, 110667796-110667848, 110669452-110669552, 110670524-110670567, 110672660-110672856, 110674085-110674223, 110674305-110674364, 110677969-110677994]	Identical	CCDS33273.1_CHR2	3258	0	0	3255-	1089	15	5	35	5	13	3	19	20	10	32	7	1	13	6	26	10	13	25	14	34	45	2		2	19	16	24	8	21	1	28	1	19	21	1	28	58	23	14	9	24	4	12	34	27	7	34	21	32	10	42	6	15	20		14	22	23	13	14	28	16	10	12	
6	NC_000006.12	GRIK2	2898	CCDS55045.1	Public	+	101399277	102065912	[101399277-101399391, 101621948-101622115, 101626379-101626636, 101676622-101676803, 101682552-101682605, 101686179-101686352, 101799647-101799790, 101802330-101802437, 101818369-101818482, 101859286-101859492, 101889639-101889862, 101924600-101924718, 101928414-101928631, 102035340-102035565, 102055329-102055579, 102065796-102065912]	Identical	CCDS55045.1_CHR6	2679	0	0	2676-	896	7	5	21	4	6	6	16	21	15	23	10	1	16	19	18	17	9	31	22	27	31	8		4	21	12	11	12	16	1	21	2	17	15	2	17	30	23	18	18	13	1	16	29	15	11	12	21	29	6	20	9	15	15		26	17	9	16	4	19	7	6	4	
1	NC_000001.11	RO60	6738	CCDS86042.1	Public	+	193076524	193084730	[193076524-193076646, 193076912-193077049, 193081363-193081479, 193082185-193082298, 193082561-193082707, 193084578-193084730]	Identical	CCDS86042.1_CHR1	792	0	0	789-	267	4	2	7	3	1	1	3	11	6	7	2		2	2	7	3	8	9	3	15	10	3			4	3	2	4	6	1	17	1	8			4	10	1	5	2	3		1	6	3		9	3	16	2	3	4	1	8		3	7	4	4	7	2	1			
5	NC_000005.10	G3BP1	10146	CCDS4319.1	Public	+	151786620	151804090	[151786620-151786714, 151790322-151790403, 151790888-151791061, 151794158-151794248, 151795478-151795574, 151797226-151797427, 151799211-151799312, 151799888-151799999, 151800217-151800345, 151800759-151800868, 151803884-151804090]	Identical	CCDS4319.1_CHR5	1401	0	0	1398-	470		4	10	1	9	3	11	4	10	10	3	4	1	5	15	5	5	6	3	11	9	7	1	2	8	12	13	11	4		10		11	4		14	26	15	8	2	23	1		11	7	9	17	4	16	7	17	1	8	3		6	7	7	8	7	22	3	1	5	
4	NC_000004.12	ADH7	131	CCDS34034.2	Public	-	99413147	99435232	[99413147-99413171, 99415477-99415615, 99418985-99419120, 99420532-99420792, 99427772-99427988, 99428086-99428173, 99428491-99428629, 99429531-99429632, 99435215-99435232]	Identical	CCDS34034.2_CHR4	1125	0	0	1122-	378	8	1	2	6	5	4	7	9	6	13	3		2	11	17	7	12	16	9	10	19	1	1	2	10	3	3	10	4		10	1	10	6		4	10	13	4	5	5		5	13	3	3	10	5	10	2	2	1	8	2		3	6	4	4	4	11	2	5	3	
19	NC_000019.10	STAP2	55620	CCDS12128.1	Public	-	4324132	4338752	[4324132-4324196, 4324454-4324666, 4325215-4325307, 4325395-4325544, 4326941-4327006, 4327123-4327225, 4327315-4327384, 4328674-4328808, 4329960-4330060, 4332021-4332077, 4333693-4333815, 4333972-4334043, 4338651-4338752]	Identical	CCDS12128.1_CHR19	1350	0	0	1347-	453	2	4	5	4	8	2	7	4	6	30		10	6	14	4	4		5	13	6	5		1	4	26		3	10	6		5	5	3	11	3	7	6	19	11	9	10	4	4	4	3	19	15	6	8	3	10	5	12	2		4	8	4	4	2	27	10	8	10	
17	NC_000017.11	JPT1	51155	CCDS45772.1	Public	-	75136101	75148588	[75136101-75136249, 75146665-75146683, 75147555-75147652, 75148528-75148588]	Identical	CCDS45772.1_CHR17	327	0	0	324-	112			4		2		1	2	4	5			1	4	3	1		1		1					3	3	1	1	3		2	2		5		5	7	5	1	1	4	1	4	1		3	3	2	2	2	2		4	1	1		2	1	2		2		4		
1	NC_000001.11	RO60	6738	CCDS53451.1	Public	+	193069054	193085001	[193069054-193069633, 193075819-193076039, 193076500-193076646, 193076912-193077049, 193081363-193081479, 193082185-193082298, 193082561-193082707, 193084578-193084656, 193084988-193085001]	Identical	CCDS53451.1_CHR1	1557	0	0	1554-	522	9	3	13	3	2	3	4	16	10	19	8	2	8	7	9	5	12	14	6	19	28	3			7	11	9	6	10		23	1	13	4		11	31	5	6	6	6	1	4	11	9		10	5	17	2	10	8	5	16	1	10	13	10	6	11	11	2	2	3	
X	NC_000023.11	ATP11C	286410	CCDS14668.1	Public	-	139731653	139832188	[139731653-139731754, 139737915-139738068, 139740990-139741093, 139743558-139743623, 139745721-139745856, 139750024-139750151, 139757807-139757866, 139761960-139762105, 139763315-139763417, 139768259-139768433, 139774689-139774952, 139782546-139782727, 139783163-139783266, 139785225-139785298, 139787172-139787243, 139788191-139788342, 139789326-139789487, 139796272-139796469, 139797175-139797325, 139798272-139798353, 139798678-139798742, 139800059-139800109, 139802235-139802338, 139804470-139804598, 139814877-139814984, 139816862-139816942, 139819337-139819426, 139826703-139826822, 139832153-139832188]	Identical	CCDS14668.1_CHRX	3399	0	0	3396-	1136	17	5	34	9	8	4	16	32	8	26	21	3	14	10	28	17	28	32	22	25	44	12		2	24	24	19	13	20	1	26		25	20	3	19	62	14	33	15	11		12	38	23	5	15	15	36	6	23	15	16	25		31	25	12	14	26	18	16	9	7	
X	NC_000023.11	CENPI	2491	CCDS14479.1	Public	+	101101070	101162966	[101101070-101101295, 101102273-101102410, 101109472-101109590, 101109890-101109997, 101120401-101120449, 101120737-101120783, 101126708-101126797, 101127137-101127265, 101127497-101127664, 101128715-101128835, 101129981-101130072, 101132189-101132306, 101132391-101132455, 101140665-101140759, 101145063-101145198, 101146152-101146276, 101147762-101147810, 101147942-101148160, 101161527-101161568, 101162832-101162966]	Identical	CCDS14479.1_CHRX	2271	0	0	2268-	760	12	5	25	7	6	1	21	9	6	25	9	4	16	7	13	9	10	17	8	15	33			3	22	9	19	6	27	1	15		11	4	1	16	23	18	17	9	17	1	8	25	21	4	12	19	18	5	17	11	6	13		26	13	11	16	11	17	5	15	7	
17	NC_000017.11	GPS1	2873	CCDS82228.1	Public	+	82053288	82057126	[82053288-82053365, 82053867-82054048, 82054509-82054809, 82054897-82054974, 82055161-82055221, 82055739-82055824, 82056000-82056094, 82056285-82056390, 82056469-82056549, 82056628-82056765, 82056839-82056973, 82057052-82057126]	Identical	CCDS82228.1_CHR17	1416	0	0	1413-	475	4	3	5	6	4	9	14	1	1	25		10	2	8	1	18	1	3	13	15	3	2	1	5	35	2		10	6		6	2		31		2	4	15	10	13	3	3	11	4		9	4	4	4	4	23	2	26			3	6	4	1		28	16	20	7	
11	NC_000011.10	RNF141	50862	CCDS7803.1	Public	-	10514915	10534157	[10514915-10515065, 10519033-10519140, 10525191-10525372, 10530642-10530750, 10534015-10534157]	Identical	CCDS7803.1_CHR11	693	0	0	690-	234	9		4	1	3	1	5	3		4		3	4	4	4	4	3	8	3	7	8	2	1	2	2	1	4	1	3		9		4		1	7	9	6		2	4		4	5	6	2	2	3	13	3	11	1	1	3		3	8	2	5	8	8	1	3	3	
14	NC_000014.9	GTF2A1	2957	CCDS9874.1	Public	-	81180222	81216426	[81180222-81180329, 81185530-81185619, 81192518-81192838, 81196107-81196240, 81197408-81197483, 81201593-81201657, 81203899-81204103, 81216412-81216426]	Identical	CCDS9874.1_CHR14	1014	0	0	1011-	341			8	1	3		3	11	4	4	8		3	3	9	4	6	5	2	6	8		1	1	2	3	20	3	2		11	1	12	6		2	18	7		4	14	1	2	6	6	2	6	7	18	1	40	4	3	5		4	12	8	4	4	6			4	
1	NC_000001.11	IGSF21	84966	CCDS184.1	Public	+	18108128	18378325	[18108128-18108197, 18227897-18228009, 18291865-18291986, 18334891-18335009, 18362114-18362229, 18365222-18365696, 18376309-18376394, 18376799-18376991, 18377392-18377430, 18378255-18378325]	Identical	CCDS184.1_CHR1	1404	0	0	1401-	471	1	4	4	6	7	14	15	6	5	10	1	9	4	11	5	13	4	6	17	12	4	4	1	11	26	2	2	12	2		7	3	4	17	1	2	5	21	14	15	3	3	9	3	1	21	13	5	5	4	9	2	19			3	4	2	1	2	24	9	13	6	
7	NC_000007.14	RAPGEF5	9771	CCDS55093.2	Public	-	22122405	22357059	[22122405-22122520, 22125603-22125657, 22131036-22131100, 22136037-22136124, 22136932-22136982, 22140024-22140114, 22145043-22145221, 22146896-22147018, 22150406-22150503, 22154454-22154603, 22156809-22156887, 22157854-22157884, 22160517-22160614, 22162396-22162540, 22167069-22167147, 22193366-22193454, 22193914-22194032, 22219865-22219990, 22230845-22230918, 22266963-22267011, 22291174-22291240, 22308338-22308506, 22309968-22310089, 22315369-22315475, 22317986-22318036, 22356829-22357059]	Identical	CCDS55093.2_CHR7	2652	0	0	2649-	887	6	5	19	11	10	3	11	9	5	27	9	9	11	7	10	13	15	20	5	17	34	5	1	8	37	16	16	18	14		14	9	12	17	3	17	50	25	16	14	9	10	12	16	20	6	9	9	21	14	34	10	23	10		16	17	12	10	6	30	11	14	17	
2	NC_000002.12	MAP2	4133	CCDS2384.1	Public	+	209653170	209730396	[209653170-209653431, 209678571-209678684, 209680749-209680826, 209692624-209696349, 209696541-209696747, 209696916-209697050, 209700276-209700337, 209705579-209705726, 209709913-209710253, 209725708-209725789, 209729849-209729961, 209730181-209730396]	Identical	CCDS2384.1_CHR2	5484	0	0	5481-	1831	4	5	18	4	21	5	11	41	27	55	21	8	5	22	32	21	46	32	41	33	103	5	1	5	25	25	32	23	22		52	5	28	37	4	48	122	28	19	14	57	3	28	26	27	26	53	45	79	20	40	14	45	16		14	53	23	39	24	98	12	22	14	
7	NC_000007.14	HOXA13	3209	CCDS5412.1	Public	-	27198197	27200076	[27198197-27198441, 27199155-27200076]	Identical	CCDS5412.1_CHR7	1167	0	0	1164-	392			2	6	10	6	11	2	2	10	1	4	5	21	2	4	3	1	4	10	9			3	7	1	3	4	2	1	12	8	1	38	11	1	6	8	9	7	4	35	7	1	2	22	3	1	3	5	10		5	1		3	8	2	1		11	13	8	9	
8	NC_000008.11	KLF10	7071	CCDS6294.1	Public	-	102650131	102655600	[102650131-102650390, 102651148-102652060, 102652163-102652396, 102655565-102655600]	Identical	CCDS6294.1_CHR8	1443	0	0	1440-	484	9	2	6	6	2	1	12	12	3	15	2	3	4	4	4	5	7	6	6	15	16	1	1	4	4	10	3	7	4		10	4	10	15		15	14	15	6	6	22	3	7	12	4	13	19	13	10	9	15	6	5			3	15	6	10	6	11	3	10	10	
3	NC_000003.12	HRG	3273	CCDS3280.1	Public	+	186666031	186677882	[186666031-186666213, 186668934-186669050, 186669937-186670027, 186671622-186671788, 186672786-186672866, 186675088-186675189, 186677046-186677882]	Identical	CCDS3280.1_CHR3	1578	0	0	1575-	529	9	3	13	8	6	1	7	7	6	10	4	3	2	6	17	5	5	4	5	3	12	4			5	19	12	8	10	1	5	5	3	10	3	12	14	11	15	5	17		7	11	6	23	20	5	15	3	6	5	16	3		4	7	43	7	4	14	7	2	23	
2	NC_000002.12	MLPH	79083	CCDS42836.1	Public	+	237493426	237553591	[237493426-237493535, 237510573-237510794, 237510988-237511100, 237518538-237518647, 237519909-237520028, 237525600-237525804, 237527376-237527515, 237540347-237540532, 237540801-237540956, 237542566-237542658, 237546605-237546682, 237549220-237549277, 237552336-237552436, 237553565-237553591]	Identical	CCDS42836.1_CHR2	1719	0	0	1716-	576	3		5	8	11	5	8	4	5	23	2	8	2	14	9	6	5	3	9	5	15	4		4	26	10	4	10	3	1	11	6	4	26	4	6	16	15	7	13	12	5	19	4	5	12	3	13	16	15	25	2	21			2	9	7	7	1	44	5	12	14	
3	NC_000003.12	ETV5	2119	CCDS33906.1	Public	-	186048638	186105867	[186048638-186048859, 186052029-186052130, 186057074-186057243, 186057422-186057490, 186064416-186064475, 186065812-186066071, 186079816-186080103, 186081045-186081174, 186105304-186105354, 186105448-186105495, 186105624-186105711, 186105823-186105867]	Identical	CCDS33906.1_CHR3	1533	0	0	1530-	514	4	1	3	7	10	5	8	4	6	14	1	6	4	8	7	4	2	3	9	15	7	7			16	6	9	11	1	1	12	6	5	11	2	9	20	6	11	9	22	1	6	14	7	22	21	8	16	3	26	2	13	3		13	6	10	2		18	12	9	7	
